num,FSDB,moTagL,moTagR,tState,brand,moPITTag,season,moDay,moMn,moYear,moAge,arrivalDate,sex,pupBM,day,month,year,event
1170,F14869,W8473,W8473,++,,041A04340A,2019,,,2012,6,,M,5.2,9,12,2018,2
1170,F14869,W8473,W8473,++,,041A04340A,2019,,,2012,6,08/02/2019,,,,,2018,12
1170,F14869,W8473,W8473,++,,041A04340A,2020,,,2012,7,13/12/2019,,,,,2019,5
1170,F14869,W8473,W8473,++,,041A04340A,2021,,,2012,8,27/11/2020,F,5,28,11,2020,2
1170,F14869,W8473,W8473,++,,041A04340A,2022,,,2012,9,29/11/2021,M,4.5,30,11,2021,2
1171,F14871,W8474,W8474,++,,041A043768,2019,,,2011,7,,M,5.4,9,12,2018,4
1171,F14871,W8474,W8474,++,,041A043768,2019,,,2011,7,24/02/2019,,,,,2018,12
1172,F14873,W8475,W8475-TH,+-,,041A042BF4,2019,,,2013,5,,M,4.3,9,12,2018,2
1172,F14873,W8475,W8475-TH,+-,,041A042BF4,2019,,,2013,5,04/02/2019,,,,,2018,12
1172,F14873,W8475,W8475-TH,+-,,041A042BF4,2020,,,2013,6,11/12/2019,,,,,2019,5
1172,F14873,W8475,W8475-TH,+-,,041A042BF4,2021,,,2013,7,02/12/2020,F,3.9,2,12,2020,4
1172,F14873,W8475,W8475-TH,+-,,041A042BF4,2022,,,2013,8,07/12/2021,M,5.75,8,12,2021,2
1172,F14873,W8475,W8475-TH,+-,,041A042BF4,2023,,,2013,9,28/11/2022,F,4.25,29,11,2022,2
1172,F14873,W8475,W8475-TH,+-,,041A042BF4,2024,,,2013,10,20/12/2023,,,,,2023,5
1173,F14875,W8476,W8476,++,,041A042E4C,2019,,,2009,9,,M,5.8,10,12,2018,2
1173,F14875,W8476,W8476,++,,041A042E4C,2019,,,2009,9,08/02/2019,,,,,2018,12
1174,F14881,W8477,W8477,++,,041A04555C,2019,,,2013,5,,M,5.9,11,12,2018,2
1174,F14881,W8477,W8477,++,,041A04555C,2019,,,2013,5,17/02/2019,,,,,2018,12
1174,F14881,W8477,W8477,++,,041A04555C,2020,,,2013,6,08/12/2019,M,6.6,9,12,2019,2
1174,F14881,W8477,W8477,++,,041A04555C,2021,,,2013,7,11/12/2020,F,5.1,13,12,2020,2
1174,F14881,W8477,W8477,++,,041A04555C,2022,,,2013,8,04/12/2021,M,5.55,5,12,2021,2
1175,F14877,W8478,W8478,++,,041A045D2A,2019,,,,,,F,4,10,12,2018,2
1175,F14877,W8478,W8478,++,,041A045D2A,2019,,,,,17/02/2019,,,,,2018,12
1175,F14877,W8478,W8478,++,,041A045D2A,2020,,,,,10/12/2019,F,5.4,11,12,2019,3
1176,F14879,W8480,W8480,++,,041A04721C,2019,,,2012,6,,F,3.6,11,12,2018,2
1176,F14879,W8480,W8480,++,,041A04721C,2019,,,2012,6,15/02/2019,,,,,2018,12
1177,F14883,W8481,W8481,++,,041A046BE9,2019,,,2011,7,,F,4.6,12,12,2018,2
1177,F14883,W8481,W8481,++,,041A046BE9,2019,,,2011,7,12/02/2019,,,,,2018,12
1177,F14883,W8481,W8481,++,,041A046BE9,2020,,,2011,8,02/12/2019,M,5.9,4,12,2019,2
1177,F14883,W8481,W8481,++,,041A046BE9,2021,,,2011,9,22/11/2020,,,,,2020,5
1178,F14885,W8482,W8482,++,,041A0461E2,2019,,,2012,6,,M,5.3,14,12,2018,2
1178,F14885,W8482,W8482,++,,041A0461E2,2019,,,2012,6,13/02/2019,,,,,2018,12
1178,F14885,W8482,W8482,++,,041A0461E2,2020,,,2012,7,04/12/2019,M,5,5,12,2019,2
1179,F14895,W8483,W8483,++,,041A0425A3,2019,,,2008,10,,F,,14,12,2018,2
1179,F14895,W8483,W8483,++,,041A0425A3,2019,,,2008,10,30/01/2019,,,,,2018,12
1179,F14895,W8483,W8483,++,,041A0425A3,2020,,,2008,11,09/12/2019,M,4.5,10,12,2019,4
1179,F14895,W8483,W8483,++,,041A0425A3,2021,,,2008,12,05/12/2020,M,,6,12,2020,2
1179,F14895,W8483,W8483,++,,041A0425A3,2022,,,2008,13,09/12/2021,M,4.6,11,12,2021,2
1179,F14895,W8483,W8483,++,,041A0425A3,2023,,,2008,14,06/12/2022,F,4.9,7,12,2022,2
1180,F14887,W8484,W8484,++,,0419D292BC,2019,,,2011,7,,M,6,20,12,2018,2
1180,F14887,W8484,W8484,++,,0419D292BC,2019,,,2011,7,15/02/2019,,,,,2018,12
1180,F14887,W8484,W8484,++,,0419D292BC,2020,,,2011,8,02/12/2019,M,4.5,3,12,2019,12
1180,F14887,W8484,W8484,++,,0419D292BC,2021,,,2011,9,01/12/2020,M,5.1,2,12,2020,2
1181,F14888,W8485,W8485,++,,041A0444E7,2019,,,2011,7,,F,3.9,21,12,2018,3
1181,F14888,W8485,W8485,++,,041A0444E7,2019,,,2011,7,04/02/2019,,,,,2018,12
1182,F14890,W8486,W8486,++,,041A04743A,2019,,,2012,6,22/12/2018,F,5.4,22,12,2018,2
1182,F14890,W8486,W8486,++,,041A04743A,2019,,,2012,6,11/02/2019,,,,,2018,12
1182,F14890,W8486,W8486,++,,041A04743A,2020,,,2012,7,06/12/2019,M,6.2,8,12,2019,2
1182,F14890,W8486,W8486,++,,041A04743A,2021,,,2012,8,07/12/2020,M,5.5,8,12,2020,2
1182,F14890,W8486,W8486,++,,041A04743A,2022,,,2012,9,30/11/2021,,,,,2021,5
1182,F14890,W8486,W8486,++,,041A04743A,2023,,,2012,10,28/11/2022,M,5.8,30,11,2022,2
1182,F14890,W8486,W8486,++,,041A04743A,2024,,,2012,11,01/12/2023,,,,,2023,5
1182,F14890,W8486,W8486,++,,041A04743A,2025,,,2012,12,24/11/2024,F,4.5,25,11,2024,4
